No.,Target,Significant --regex,Best Match Score,Best Match,Best Match Path,2nd Match Score,2nd Match,2nd Match Path,3rd Match Score,3rd Match,3rd Match Path
43,grinnell_5047_OBJ,False,95,grinnell_5047_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_15047_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,85,grinnell_5704_OBJ.jpg.clientThumb,/Volumes/exports/phpp-community/OBJ
44,grinnell_5276_OBJ,False,95,grinnell_5276_OBJ.tiff,/Volumes/exports/college-buildings/OBJ,87,grinnell_15276_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,85,grinnell_5706_OBJ.jpg.clientThumb,/Volumes/exports/phpp-community/OBJ
45,grinnell_23628_OBJ,False,95,grinnell_23628_OBJ.tiff,/Volumes/exports/college-life/OBJ,85,grinnell_23062_OBJ.pdf,/Volumes/exports/college-life/OBJ,85,grinnell_23068_OBJ.pdf,/Volumes/exports/college-life/OBJ
46,grinnell_34002_OBJ,False,95,grinnell_34002_OBJ.tiff,/Volumes/exports/college-life/OBJ,85,grinnell_34600_OBJ.jpg,/Volumes/exports/hadc-wca/OBJ,85,grinnell_34600_OBJ.jpg.clientThumb,/Volumes/exports/hadc-wca/OBJ
47,grinnell_23551_OBJ,False,95,grinnell_23551_OBJ.tiff,/Volumes/exports/college-life/OBJ,86,grinnell_5555_OBJ,/Volumes/exports/college-life/OBJ,85,grinnell_23055_OBJ.pdf,/Volumes/exports/college-life/OBJ
48,grinnell_26760_OBJ,False,95,grinnell_26760_OBJ.tiff,/Volumes/exports/college-life/OBJ,85,grinnell_26680_OBJ.jpg,/Volumes/exports/college-life/OBJ,85,grinnell_26870_OBJ.jpg,/Volumes/exports/college-life/OBJ
49,grinnell_23648_OBJ,False,95,grinnell_23648_OBJ.tiff,/Volumes/exports/college-life/OBJ,85,grinnell_23048_OBJ.pdf,/Volumes/exports/college-life/OBJ,85,grinnell_23064_OBJ.pdf,/Volumes/exports/college-life/OBJ
50,grinnell_23553_OBJ,False,95,grinnell_23553_OBJ.tiff,/Volumes/exports/college-life/OBJ,86,grinnell_5555_OBJ,/Volumes/exports/college-life/OBJ,85,grinnell_23053_OBJ.pdf,/Volumes/exports/college-life/OBJ
51,grinnell_34465_OBJ,False,95,grinnell_34465_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_3445_OBJ.pdf,/Volumes/exports/curricular-materials/OBJ,87,grinnell_3446_OBJ.pdf,/Volumes/exports/curricular-materials/OBJ
52,grinnell_23620_OBJ,False,95,grinnell_23620_OBJ.tiff,/Volumes/exports/college-life/OBJ,85,grinnell_23060_OBJ.pdf,/Volumes/exports/college-life/OBJ,85,grinnell_23062_OBJ.pdf,/Volumes/exports/college-life/OBJ
53,grinnell_23622_OBJ,False,95,grinnell_23622_OBJ.tiff,/Volumes/exports/college-life/OBJ,85,grinnell_23062_OBJ.pdf,/Volumes/exports/college-life/OBJ,85,grinnell_23162_OBJ.pdf,/Volumes/exports/college-life/OBJ
54,grinnell_12933_OBJ,False,95,grinnell_12933_OBJ.tiff,/Volumes/exports/college-life/OBJ,85,grinnell_19933_OBJ.jpg,/Volumes/exports/college-life/OBJ,85,grinnell_29533_OBJ.jpg,/Volumes/exports/college-life/OBJ
55,grinnell_5894_OBJ,False,95,grinnell_5894_OBJ.tiff,/Volumes/exports/college-buildings/OBJ,87,grinnell_15894_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,85,grinnell_5284_OBJ.jpg.clientThumb,/Volumes/exports/phpp-community/OBJ
56,grinnell_5045_OBJ,False,95,grinnell_5045_OBJ.tiff,/Volumes/exports/college-life/OBJ,88,grinnell_5555_OBJ,/Volumes/exports/college-life/OBJ,87,grinnell_15045_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ
57,grinnell_5768_OBJ,False,95,grinnell_5768_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_15768_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,85,grinnell_5678_OBJ.jpg.clientThumb,/Volumes/exports/phpp-community/OBJ
58,grinnell_5003_OBJ,False,95,grinnell_5003_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_15003_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,85,grinnell_5700_OBJ.jpg.clientThumb,/Volumes/exports/phpp-community/OBJ
59,grinnell_5770_OBJ,False,95,grinnell_5770_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_15770_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,85,grinnell_5677_OBJ.jpg.clientThumb,/Volumes/exports/phpp-community/OBJ
